Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,cal371-dc2,Ethernet1,server,HarnessA,Eth1
l3leaf,cal371-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet49/1
l3leaf,cal371-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet49/1
l3leaf,cal371-dc2,Ethernet53/1,mlag_peer,cal372-dc2,Ethernet53/1
l3leaf,cal371-dc2,Ethernet54/1,mlag_peer,cal372-dc2,Ethernet54/1
l3leaf,cal372-dc2,Ethernet1,server,HarnessA,Eth2
l3leaf,cal372-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet50/1
l3leaf,cal372-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet50/1
l3leaf,cal372-dc2,Ethernet53/1,mlag_peer,cal371-dc2,Ethernet53/1
l3leaf,cal372-dc2,Ethernet54/1,mlag_peer,cal371-dc2,Ethernet54/1
l3leaf,cal375-dc2,Ethernet1,server,HarnessC,Eth5
l3leaf,cal375-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet53/1
l3leaf,cal375-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet53/1
GWleaf,GWleaf1-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet54/1
GWleaf,GWleaf1-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet54/1
GWleaf,GWleaf1-dc2,Ethernet53/1,mlag_peer,GWleaf2-dc2,Ethernet53/1
GWleaf,GWleaf1-dc2,Ethernet54/1,mlag_peer,GWleaf2-dc2,Ethernet54/1
GWleaf,GWleaf2-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet55/1
GWleaf,GWleaf2-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet55/1
GWleaf,GWleaf2-dc2,Ethernet53/1,mlag_peer,GWleaf1-dc2,Ethernet53/1
GWleaf,GWleaf2-dc2,Ethernet54/1,mlag_peer,GWleaf1-dc2,Ethernet54/1
spine,hs426-dc2,Ethernet49/1,l3leaf,cal371-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet50/1,l3leaf,cal372-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet51/1,l3leaf,hs429-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet52/1,l3leaf,hs523-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet53/1,l3leaf,cal375-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet54/1,GWleaf,GWleaf1-dc2,Ethernet49/1
spine,hs426-dc2,Ethernet55/1,GWleaf,GWleaf2-dc2,Ethernet49/1
spine,hs427-dc2,Ethernet49/1,l3leaf,cal371-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet50/1,l3leaf,cal372-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet51/1,l3leaf,hs429-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet52/1,l3leaf,hs523-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet53/1,l3leaf,cal375-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet54/1,GWleaf,GWleaf1-dc2,Ethernet50/1
spine,hs427-dc2,Ethernet55/1,GWleaf,GWleaf2-dc2,Ethernet50/1
l3leaf,hs429-dc2,Ethernet1,server,HarnessB,Eth3
l3leaf,hs429-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet51/1
l3leaf,hs429-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet51/1
l3leaf,hs523-dc2,Ethernet1,server,HarnessB,Eth4
l3leaf,hs523-dc2,Ethernet49/1,spine,hs426-dc2,Ethernet52/1
l3leaf,hs523-dc2,Ethernet50/1,spine,hs427-dc2,Ethernet52/1
