Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,btd452,Ethernet1/1,100.64.102.17/31,spine,btd555,Ethernet1/1,100.64.102.16/31
l3leaf,btd452,Ethernet2/1,100.64.102.19/31,spine,btd556,Ethernet1/1,100.64.102.18/31
l3leaf,btd452,Ethernet3/1,100.64.102.21/31,spine,btd556,Ethernet2/1,100.64.102.20/31
l3leaf,btd452,Ethernet4/1,100.64.102.23/31,spine,btd556,Ethernet3/1,100.64.102.22/31
l3leaf,btd453,Ethernet1/1,100.64.102.9/31,spine,btd555,Ethernet4/1,100.64.102.8/31
l3leaf,btd453,Ethernet2/1,100.64.102.11/31,spine,btd556,Ethernet10/1,100.64.102.10/31
l3leaf,btd453,Ethernet3/1,100.64.102.13/31,spine,btd556,Ethernet11/1,100.64.102.12/31
l3leaf,btd453,Ethernet4/1,100.64.102.15/31,spine,btd556,Ethernet12/1,100.64.102.14/31
spine,btd555,Ethernet2/1,100.64.102.24/31,l3leaf,btp351,Ethernet1/1,100.64.102.25/31
spine,btd555,Ethernet3/1,100.64.102.0/31,l3leaf,btd558,Ethernet1/1,100.64.102.1/31
spine,btd556,Ethernet4/1,100.64.102.26/31,l3leaf,btp351,Ethernet2/1,100.64.102.27/31
spine,btd556,Ethernet5/1,100.64.102.28/31,l3leaf,btp351,Ethernet3/1,100.64.102.29/31
spine,btd556,Ethernet6/1,100.64.102.30/31,l3leaf,btp351,Ethernet4/1,100.64.102.31/31
spine,btd556,Ethernet7/1,100.64.102.2/31,l3leaf,btd558,Ethernet2/1,100.64.102.3/31
spine,btd556,Ethernet8/1,100.64.102.4/31,l3leaf,btd558,Ethernet3/1,100.64.102.5/31
spine,btd556,Ethernet9/1,100.64.102.6/31,l3leaf,btd558,Ethernet4/1,100.64.102.7/31
