Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,btd452,Ethernet1/1,spine,btd555,Ethernet1/1,True
l3leaf,btd452,Ethernet2/1,spine,btd556,Ethernet1/1,True
l3leaf,btd452,Ethernet3/1,spine,btd556,Ethernet2/1,True
l3leaf,btd452,Ethernet4/1,spine,btd556,Ethernet3/1,True
l3leaf,btd452,Ethernet6/1,server,dc1-LEAF11,Eth6/1,True
l3leaf,btd453,Ethernet1/1,spine,btd555,Ethernet4/1,True
l3leaf,btd453,Ethernet2/1,spine,btd556,Ethernet10/1,True
l3leaf,btd453,Ethernet3/1,spine,btd556,Ethernet11/1,True
l3leaf,btd453,Ethernet4/1,spine,btd556,Ethernet12/1,True
l3leaf,btd453,Ethernet5/1,server,dc1-Storage-Po100,Eth2/1,True
l3leaf,btd453,Ethernet6/1,mlag_peer,btd558,Ethernet6/1,True
l3leaf,btd453,Ethernet7/1,mlag_peer,btd558,Ethernet7/1,True
spine,btd555,Ethernet1/1,l3leaf,btd452,Ethernet1/1,True
spine,btd555,Ethernet2/1,l3leaf,btp351,Ethernet1/1,True
spine,btd555,Ethernet3/1,l3leaf,btd558,Ethernet1/1,True
spine,btd555,Ethernet4/1,l3leaf,btd453,Ethernet1/1,True
spine,btd556,Ethernet1/1,l3leaf,btd452,Ethernet2/1,True
spine,btd556,Ethernet2/1,l3leaf,btd452,Ethernet3/1,True
spine,btd556,Ethernet3/1,l3leaf,btd452,Ethernet4/1,True
spine,btd556,Ethernet4/1,l3leaf,btp351,Ethernet2/1,True
spine,btd556,Ethernet5/1,l3leaf,btp351,Ethernet3/1,True
spine,btd556,Ethernet6/1,l3leaf,btp351,Ethernet4/1,True
spine,btd556,Ethernet7/1,l3leaf,btd558,Ethernet2/1,True
spine,btd556,Ethernet8/1,l3leaf,btd558,Ethernet3/1,True
spine,btd556,Ethernet9/1,l3leaf,btd558,Ethernet4/1,True
spine,btd556,Ethernet10/1,l3leaf,btd453,Ethernet2/1,True
spine,btd556,Ethernet11/1,l3leaf,btd453,Ethernet3/1,True
spine,btd556,Ethernet12/1,l3leaf,btd453,Ethernet4/1,True
l3leaf,btd558,Ethernet1/1,spine,btd555,Ethernet3/1,True
l3leaf,btd558,Ethernet2/1,spine,btd556,Ethernet7/1,True
l3leaf,btd558,Ethernet3/1,spine,btd556,Ethernet8/1,True
l3leaf,btd558,Ethernet4/1,spine,btd556,Ethernet9/1,True
l3leaf,btd558,Ethernet5/1,server,dc1-Storage-Po100,Eth1/1,True
l3leaf,btd558,Ethernet6/1,mlag_peer,btd453,Ethernet6/1,True
l3leaf,btd558,Ethernet7/1,mlag_peer,btd453,Ethernet7/1,True
l3leaf,btp351,Ethernet1/1,spine,btd555,Ethernet2/1,True
l3leaf,btp351,Ethernet2/1,spine,btd556,Ethernet4/1,True
l3leaf,btp351,Ethernet3/1,spine,btd556,Ethernet5/1,True
l3leaf,btp351,Ethernet4/1,spine,btd556,Ethernet6/1,True
l3leaf,btp351,Ethernet6/1,server,dc1-LEAF21,Eth6/1,True
