Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1p1_leaf1a_cal418,Ethernet49/1,161.1.0.1/31,spine,dc1p1_spine1_glf437,Ethernet3/1/1,161.1.0.0/31
l3leaf,dc1p1_leaf1a_cal418,Ethernet50/1,161.1.0.3/31,spine,dc1p1_spine2_btp454,Ethernet3/1,161.1.0.2/31
l3leaf,dc1p1_leaf1a_cal418,Ethernet51/1,161.1.0.5/31,spine,dc1p1_spine3_btd452,Ethernet3/1,161.1.0.4/31
l3leaf,dc1p1_leaf1b_cal419,Ethernet49/1,161.1.0.7/31,spine,dc1p1_spine1_glf437,Ethernet3/2/1,161.1.0.6/31
l3leaf,dc1p1_leaf1b_cal419,Ethernet50/1,161.1.0.9/31,spine,dc1p1_spine2_btp454,Ethernet4/1,161.1.0.8/31
l3leaf,dc1p1_leaf1b_cal419,Ethernet51/1,161.1.0.11/31,spine,dc1p1_spine3_btd452,Ethernet4/1,161.1.0.10/31
l3leaf,dc1p1_leaf2a_cal421,Ethernet50/1,161.1.0.13/31,spine,dc1p1_spine1_glf437,Ethernet3/3/1,161.1.0.12/31
l3leaf,dc1p1_leaf2a_cal421,Ethernet51/1,161.1.0.15/31,spine,dc1p1_spine2_btp454,Ethernet5/1,161.1.0.14/31
l3leaf,dc1p1_leaf2a_cal421,Ethernet52/1,161.1.0.17/31,spine,dc1p1_spine3_btd452,Ethernet5/1,161.1.0.16/31
l3leaf,dc1p1_leaf2b_cal422,Ethernet49/1,161.1.0.19/31,spine,dc1p1_spine1_glf437,Ethernet3/4/1,161.1.0.18/31
l3leaf,dc1p1_leaf2b_cal422,Ethernet50/1,161.1.0.21/31,spine,dc1p1_spine2_btp454,Ethernet6/1,161.1.0.20/31
l3leaf,dc1p1_leaf2b_cal422,Ethernet51/1,161.1.0.23/31,spine,dc1p1_spine3_btd452,Ethernet6/1,161.1.0.22/31
l3leaf,dc1p1_leaf3a_smd554,Ethernet33/1,161.1.0.25/31,spine,dc1p1_spine1_glf437,Ethernet4/1/1,161.1.0.24/31
l3leaf,dc1p1_leaf3a_smd554,Ethernet34/1,161.1.0.27/31,spine,dc1p1_spine2_btp454,Ethernet31/1,161.1.0.26/31
l3leaf,dc1p1_leaf3a_smd554,Ethernet35/1,161.1.0.29/31,spine,dc1p1_spine3_btd452,Ethernet31/1,161.1.0.28/31
l3leaf,dc1p1_leaf3b_smd555,Ethernet33/1,161.1.0.31/31,spine,dc1p1_spine1_glf437,Ethernet4/2/1,161.1.0.30/31
l3leaf,dc1p1_leaf3b_smd555,Ethernet34/1,161.1.0.33/31,spine,dc1p1_spine2_btp454,Ethernet32/1,161.1.0.32/31
l3leaf,dc1p1_leaf3b_smd555,Ethernet35/1,161.1.0.35/31,spine,dc1p1_spine3_btd452,Ethernet32/1,161.1.0.34/31
l3leaf,dc1p1_sleaf_smv541,Ethernet1/1,161.1.0.37/31,spine,dc1p1_spine1_glf437,Ethernet3/5/1,161.1.0.36/31
l3leaf,dc1p1_sleaf_smv541,Ethernet2/1,161.1.0.39/31,spine,dc1p1_spine2_btp454,Ethernet7/1,161.1.0.38/31
l3leaf,dc1p1_sleaf_smv541,Ethernet3/1,161.1.0.41/31,spine,dc1p1_spine3_btd452,Ethernet7/1,161.1.0.40/31
spine,dc1p1_spine1_glf437,Ethernet2/1/1,162.5.1.0/31,spine,dc1p2_spine1_ghs253,Ethernet1/1,162.5.1.1/31
spine,dc1p1_spine1_glf437,Ethernet2/2/1,162.5.1.2/31,spine,dc2p1_spine1_ghs282,Ethernet1/1,162.5.1.3/31
spine,dc1p1_spine2_btp454,Ethernet1/1,162.5.1.4/31,spine,dc1p2_spine2_ghs278,Ethernet1/1,162.5.1.5/31
spine,dc1p1_spine2_btp454,Ethernet2/1,162.5.1.6/31,spine,dc2p1_spine2_ghs283,Ethernet1/1,162.5.1.7/31
spine,dc1p1_spine3_btd452,Ethernet1/1,162.5.1.8/31,spine,dc1p2_spine3_ghs281,Ethernet1/1,162.5.1.9/31
spine,dc1p1_spine3_btd452,Ethernet2/1,162.5.1.10/31,spine,dc2p1_spine3_ghs284,Ethernet1/1,162.5.1.11/31
l3leaf,dc1p2_leaf1_mrv453,Ethernet49/1,161.1.0.43/31,spine,dc1p2_spine1_ghs253,Ethernet3/1,161.1.0.42/31
l3leaf,dc1p2_leaf1_mrv453,Ethernet50/1,161.1.0.45/31,spine,dc1p2_spine2_ghs278,Ethernet3/1,161.1.0.44/31
l3leaf,dc1p2_leaf1_mrv453,Ethernet51/1,161.1.0.47/31,spine,dc1p2_spine3_ghs281,Ethernet3/1,161.1.0.46/31
l3leaf,dc1p2_leaf2_gt272,Ethernet49/1,161.1.0.49/31,spine,dc1p2_spine1_ghs253,Ethernet4/1,161.1.0.48/31
l3leaf,dc1p2_leaf2_gt272,Ethernet50/1,161.1.0.51/31,spine,dc1p2_spine2_ghs278,Ethernet4/1,161.1.0.50/31
l3leaf,dc1p2_leaf2_gt272,Ethernet51/1,161.1.0.53/31,spine,dc1p2_spine3_ghs281,Ethernet4/1,161.1.0.52/31
spine,dc1p2_spine1_ghs253,Ethernet2/1,162.5.1.12/31,spine,dc2p1_spine1_ghs282,Ethernet2/1,162.5.1.13/31
spine,dc1p2_spine2_ghs278,Ethernet2/1,162.5.1.14/31,spine,dc2p1_spine2_ghs283,Ethernet2/1,162.5.1.15/31
spine,dc1p2_spine3_ghs281,Ethernet2/1,162.5.1.16/31,spine,dc2p1_spine3_ghs284,Ethernet2/1,162.5.1.17/31
l3leaf,dc2p1_leaf1a_mrv305,Ethernet49/1,161.1.0.55/31,spine,dc2p1_spine1_ghs282,Ethernet3/1,161.1.0.54/31
