Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1p1_leaf1a_cal418,Ethernet49/1,spine,dc1p1_spine1_glf437,Ethernet3/1/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet50/1,spine,dc1p1_spine2_btp454,Ethernet3/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet51/1,spine,dc1p1_spine3_btd452,Ethernet3/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet52/1,server,dc1p1-Leaf1-Po1,Eth1/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet53/1,mlag_peer,dc1p1_leaf1b_cal419,Ethernet53/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet54/1,mlag_peer,dc1p1_leaf1b_cal419,Ethernet54/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet55/1,server,dc1p1-oob-spine,Eth25/1,True
l3leaf,dc1p1_leaf1a_cal418,Ethernet56/1,server,dc1p1-oob-spine,Eth26/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet49/1,spine,dc1p1_spine1_glf437,Ethernet3/2/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet50/1,spine,dc1p1_spine2_btp454,Ethernet4/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet51/1,spine,dc1p1_spine3_btd452,Ethernet4/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet52/1,server,dc1p1-Leaf1-Po1,Eth2/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet53/1,mlag_peer,dc1p1_leaf1a_cal418,Ethernet53/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet54/1,mlag_peer,dc1p1_leaf1a_cal418,Ethernet54/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet55/1,server,dc1p1-oob-spine,Eth25/1,True
l3leaf,dc1p1_leaf1b_cal419,Ethernet56/1,server,dc1p1-oob-spine,Eth26/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet49/1,,,,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet50/1,spine,dc1p1_spine1_glf437,Ethernet3/3/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet51/1,spine,dc1p1_spine2_btp454,Ethernet5/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet52/1,spine,dc1p1_spine3_btd452,Ethernet5/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet53/1,mlag_peer,dc1p1_leaf2b_cal422,Ethernet53/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet54/1,mlag_peer,dc1p1_leaf2b_cal422,Ethernet54/1,True
l3leaf,dc1p1_leaf2a_cal421,Ethernet55/1,server,dc1p1-Leaf2-Po1,Eth3/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet49/1,spine,dc1p1_spine1_glf437,Ethernet3/4/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet50/1,spine,dc1p1_spine2_btp454,Ethernet6/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet51/1,spine,dc1p1_spine3_btd452,Ethernet6/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet52/1,server,dc1p1-Leaf2-Po1,Eth4/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet53/1,mlag_peer,dc1p1_leaf2a_cal421,Ethernet53/1,True
l3leaf,dc1p1_leaf2b_cal422,Ethernet54/1,mlag_peer,dc1p1_leaf2a_cal421,Ethernet54/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet1/1,mlag_peer,dc1p1_leaf3b_smd555,Ethernet1/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet2/1,mlag_peer,dc1p1_leaf3b_smd555,Ethernet2/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet3/1,mlag_peer,dc1p1_leaf3b_smd555,Ethernet3/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet4/1,mlag_peer,dc1p1_leaf3b_smd555,Ethernet4/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet5/1,server,dc1p1-Leaf3-Po1,Eth5/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet33/1,spine,dc1p1_spine1_glf437,Ethernet4/1/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet34/1,spine,dc1p1_spine2_btp454,Ethernet31/1,True
l3leaf,dc1p1_leaf3a_smd554,Ethernet35/1,spine,dc1p1_spine3_btd452,Ethernet31/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet1/1,mlag_peer,dc1p1_leaf3a_smd554,Ethernet1/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet2/1,mlag_peer,dc1p1_leaf3a_smd554,Ethernet2/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet3/1,mlag_peer,dc1p1_leaf3a_smd554,Ethernet3/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet4/1,mlag_peer,dc1p1_leaf3a_smd554,Ethernet4/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet5/1,server,dc1p1-Leaf3-Po1,Eth6/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet33/1,spine,dc1p1_spine1_glf437,Ethernet4/2/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet34/1,spine,dc1p1_spine2_btp454,Ethernet32/1,True
l3leaf,dc1p1_leaf3b_smd555,Ethernet35/1,spine,dc1p1_spine3_btd452,Ethernet32/1,True
l3leaf,dc1p1_sleaf_smv541,Ethernet1/1,spine,dc1p1_spine1_glf437,Ethernet3/5/1,True
l3leaf,dc1p1_sleaf_smv541,Ethernet2/1,spine,dc1p1_spine2_btp454,Ethernet7/1,True
l3leaf,dc1p1_sleaf_smv541,Ethernet3/1,spine,dc1p1_spine3_btd452,Ethernet7/1,True
l3leaf,dc1p1_sleaf_smv541,Ethernet7/1,,,,True
l3leaf,dc1p1_sleaf_smv541,Ethernet9/1,,,,True
spine,dc1p1_spine1_glf437,Ethernet2/1/1,spine,dc1p2_spine1_ghs253,Ethernet1/1,True
spine,dc1p1_spine1_glf437,Ethernet2/2/1,spine,dc2p1_spine1_ghs282,Ethernet1/1,True
spine,dc1p1_spine1_glf437,Ethernet3/1/1,l3leaf,dc1p1_leaf1a_cal418,Ethernet49/1,True
spine,dc1p1_spine1_glf437,Ethernet3/2/1,l3leaf,dc1p1_leaf1b_cal419,Ethernet49/1,True
spine,dc1p1_spine1_glf437,Ethernet3/3/1,l3leaf,dc1p1_leaf2a_cal421,Ethernet50/1,True
spine,dc1p1_spine1_glf437,Ethernet3/4/1,l3leaf,dc1p1_leaf2b_cal422,Ethernet49/1,True
spine,dc1p1_spine1_glf437,Ethernet3/5/1,l3leaf,dc1p1_sleaf_smv541,Ethernet1/1,True
spine,dc1p1_spine1_glf437,Ethernet4/1/1,l3leaf,dc1p1_leaf3a_smd554,Ethernet33/1,True
spine,dc1p1_spine1_glf437,Ethernet4/2/1,l3leaf,dc1p1_leaf3b_smd555,Ethernet33/1,True
spine,dc1p1_spine1_glf437,Ethernet 3/1/1,,,,True
spine,dc1p1_spine1_glf437,Ethernet 3/2/1,,,,True
spine,dc1p1_spine1_glf437,Ethernet 3/3/1,,,,True
spine,dc1p1_spine1_glf437,Ethernet 3/4/1,,,,True
