Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,gts478,Ethernet1,server,Leaf1-Po1,Eth5/1,True
l3leaf,gts478,Ethernet2,server,Leaf1-Po2,Eth5/2,True
l3leaf,gts478,Ethernet3,server,Leaf1-Po3,Eth5/3,True
l3leaf,gts478,Ethernet4,server,Leaf1-Po4,Eth5/4,True
l3leaf,gts478,Ethernet7,server,Leaf1-Po7,Eth4,True
l3leaf,gts478,Ethernet13,server,Leaf1-Po13,Eth7/1,True
l3leaf,gts478,Ethernet14,server,Leaf1-Po14,Eth7/2,True
l3leaf,gts478,Ethernet41,server,Leaf1-Po41,Eth5/5,True
l3leaf,gts478,Ethernet49/1,spine,tg257,Ethernet3/32/1,True
l3leaf,gts478,Ethernet50/1,spine,tg294,Ethernet3/32/1,True
l3leaf,gts478,Ethernet51/1,spine,ph155,Ethernet3/5/1,True
l3leaf,gts478,Ethernet52/1,spine,ph156,Ethernet3/5/1,True
l3leaf,gts479,Ethernet1,server,Leaf1-Po1,Eth6/1,True
l3leaf,gts479,Ethernet2,server,Leaf1-Po2,Eth6/2,True
l3leaf,gts479,Ethernet3,server,Leaf1-Po3,Eth6/3,True
l3leaf,gts479,Ethernet4,server,Leaf1-Po4,Eth6/4,True
l3leaf,gts479,Ethernet7,server,Leaf1-Po7,Eth5,True
l3leaf,gts479,Ethernet13,server,Leaf1-Po13,Eth7/3,True
l3leaf,gts479,Ethernet14,server,Leaf1-Po14,Eth7/4,True
l3leaf,gts479,Ethernet41,server,Leaf1-Po41,Eth6/5,True
l3leaf,gts479,Ethernet49/1,spine,tg257,Ethernet4/31/1,True
l3leaf,gts479,Ethernet50/1,spine,tg294,Ethernet3/31/1,True
l3leaf,gts479,Ethernet51/1,spine,ph155,Ethernet3/6/1,True
l3leaf,gts479,Ethernet52/1,spine,ph156,Ethernet3/6/1,True
l3leaf,gts480,Etherne7,server,Leaf2-Po7,Eth1,True
l3leaf,gts480,Ethernet1,server,Leaf2-Po1,Eth5/1,True
l3leaf,gts480,Ethernet2,server,Leaf2-Po2,Eth5/2,True
l3leaf,gts480,Ethernet3,server,Leaf2-Po3,Eth5/3,True
l3leaf,gts480,Ethernet4,server,Leaf2-Po4,Eth5/4,True
l3leaf,gts480,Ethernet13,server,Leaf2-Po13,Eth7/1,True
